month,working_papers,journal_articles,books,chapters,software_items,total
1998-01,5907,120,,,231,6258
1998-02,9963,34,,,309,10306
1998-03,12941,5,,,712,13658
1998-04,14853,0,,,513,15366
1998-05,13306,111,,,323,13740
1998-06,10781,223,,,16,11020
1998-07,10302,166,,,7,10475
1998-08,9116,156,,,23,9295
1998-09,7428,362,,,9,7799
1998-10,12960,821,,,55,13836
1998-11,15496,827,,,151,16474
1998-12,9086,350,,,107,9543
1999-01,13520,516,,,69,14105
1999-02,10387,581,,,92,11060
1999-03,15787,1039,,,61,16887
1999-04,15854,1057,,,48,16959
1999-05,14204,965,,,67,15236
1999-06,17269,1133,,,113,18515
1999-07,14543,1148,,,39,15730
1999-08,10550,728,,,24,11302
1999-09,11306,770,,,32,12108
1999-10,20969,1939,,,48,22956
1999-11,18574,2315,,,42,20931
1999-12,18051,2602,,,50,20703
2000-01,16820,2836,,,36,19692
2000-02,22628,3926,,,167,26721
2000-03,32343,5575,,,360,38278
2000-04,30577,5213,,,346,36136
2000-05,28234,4989,,,275,33498
2000-06,22095,3887,,,217,26199
2000-07,19061,2044,,,164,21269
2000-08,16545,2510,,,162,19217
2000-09,15593,3157,,,116,18866
2000-10,42490,4659,,,1402,48551
2000-11,53944,2578,,,1797,58319
2000-12,39948,1320,,,1419,42687
2001-01,51470,1516,,,1544,54530
2001-02,58820,1616,,,2068,62504
2001-03,75382,2185,,,2504,80071
2001-04,83693,4049,,,2157,89899
2001-05,74491,3407,,,2202,80100
2001-06,64086,2902,,,1937,68925
2001-07,65602,3905,,,2104,71611
2001-08,73731,7893,,,2456,84080
2001-09,68761,7175,,,2119,78055
2001-10,96745,15003,,,2801,114549
2001-11,105445,18812,,,2918,127175
2001-12,82639,15158,,,2425,100222
2002-01,92692,17375,,,2968,113035
2002-02,90433,18307,,,2981,111721
2002-03,107749,21476,0,,3471,132696
2002-04,107762,21326,0,,3675,132763
2002-05,100563,19113,0,,3392,123068
2002-06,85332,16890,0,,2788,105010
2002-07,103591,22565,0,,3468,129624
2002-08,95698,24073,0,,2782,122553
2002-09,111188,30600,0,,3179,144967
2002-10,168261,44416,0,,3851,216528
2002-11,164389,44101,0,,3781,212271
2002-12,133504,37156,56,95,3339,174150
2003-01,143109,41969,288,216,3751,189333
2003-02,150046,43279,427,212,3962,197926
2003-03,175735,50839,452,265,4346,231637
2003-04,173827,48660,367,262,4321,227437
2003-05,152467,42205,311,274,4137,199394
2003-06,139527,40104,513,278,4135,184557
2003-07,154337,45222,438,304,4652,204953
2003-08,167595,51597,272,292,4024,223780
2003-09,205968,65905,448,388,5631,278340
2003-10,272666,86891,744,366,5854,366521
2003-11,280797,92866,707,426,5779,380575
2003-12,238615,82294,625,464,5004,327002
2004-01,233350,83081,582,278,4792,322083
2004-02,227304,80647,712,578,6139,315380
2004-03,268964,96293,585,484,5881,372207
2004-04,241250,88000,1223,538,5642,336653
2004-05,192195,71898,746,395,4090,269324
2004-06,180317,76885,597,303,3907,262009
2004-07,168931,72268,617,421,4030,246267
2004-08,154073,77144,718,709,4192,236836
2004-09,176024,98480,624,583,4315,280026
2004-10,225873,128047,1127,658,5413,361118
2004-11,234343,143389,1045,589,7176,386542
2004-12,186181,132774,1262,696,9662,330575
2005-01,214854,146268,1303,682,10167,373274
2005-02,225215,152996,1196,623,13282,393312
2005-03,280273,176054,1356,741,18331,476755
2005-04,267543,169807,2468,549,15393,455760
2005-05,260616,153311,2091,876,6985,423879
2005-06,221430,132105,2012,584,6369,362500
2005-07,204902,127203,1802,522,6419,340848
2005-08,217207,136098,1978,567,6347,362197
2005-09,209751,131702,1782,683,5493,349411
2005-10,312043,194860,2503,931,7527,517864
2005-11,330986,218113,2448,990,8370,560907
2005-12,275206,167290,2225,1284,7071,453076
2006-01,262023,170385,2059,3215,7235,444917
2006-02,290172,183493,2786,4645,7419,488515
2006-03,342763,217715,2706,6042,8338,577564
2006-04,305095,196298,2330,5050,8152,516925
2006-05,309600,191730,2465,5319,8289,517403
2006-06,248832,153104,2494,4212,7261,415903
2006-07,225427,119701,2343,3265,6089,356825
2006-08,240179,130072,2545,2884,6276,381956
2006-09,257964,159121,3049,3285,7027,430446
2006-10,303289,183237,3145,3973,8723,502367
2006-11,326452,200335,3196,4110,9534,543627
2006-12,260823,175143,2718,3887,7158,449729
2007-01,288826,214720,3339,5337,8178,520400
2007-02,295451,219934,3250,4656,8918,532209
2007-03,351418,269676,4154,5496,10605,641349
2007-04,343234,251961,3606,5838,10528,615167
2007-05,329366,245951,3334,5172,9953,593776
2007-06,279970,236732,3054,4338,8789,532883
2007-07,245170,179384,2536,3446,8475,439011
2007-08,264740,192251,3159,3827,8102,472079
2007-09,296988,223400,3901,4357,8694,537340
2007-10,349616,273329,3855,5629,9718,642147
2007-11,382376,295543,3513,5687,10542,697661
2007-12,279784,209517,2962,4108,7973,504344
2008-01,290581,229675,3039,5089,8624,537008
2008-02,318207,259812,3348,5285,10167,596819
2008-03,347381,306781,3654,6229,11191,675236
2008-04,375144,333772,4092,7450,11939,732397
2008-05,350386,304393,3565,6715,10869,675928
2008-06,303354,251103,2830,5560,9620,572467
2008-07,307403,256253,2734,5421,10054,581865
2008-08,293629,250086,2897,5279,8800,560691
2008-09,335091,305882,3146,6786,9963,660868
2008-10,340366,327300,3727,7275,10047,688715
2008-11,413696,404550,4189,8329,11934,842698
2008-12,341225,329183,3363,6803,10379,690953
2009-01,371813,361052,3773,7607,10359,754604
2009-02,413644,408206,4127,8197,12210,846384
2009-03,402986,408074,3965,8060,11174,834259
2009-04,456086,418295,4192,10635,14454,903662
2009-05,411848,369581,3956,10943,12758,809086
2009-06,369194,320110,3618,9632,12696,715250
2009-07,347616,290131,3424,9791,11696,662658
2009-08,328372,282155,3376,10067,11005,634975
2009-09,384920,335803,4154,11829,11714,748420
2009-10,452467,382915,4142,13911,13209,866644
2009-11,491180,379491,4608,16066,13996,905341
2009-12,387119,290075,3904,12650,10959,704707
2010-01,405820,313607,4090,13308,11404,748229
2010-02,445189,327391,4445,14545,12994,804564
2010-03,549818,400781,5225,16446,16443,988713
2010-04,504562,346636,5717,15413,15241,887569
2010-05,407404,304439,4631,12482,12618,741574
2010-06,325568,249511,3500,9615,11213,599407
2010-07,313600,258281,3805,9199,10752,595637
2010-08,312956,282453,4447,10331,10359,620546
2010-09,339241,307876,4665,11376,11112,674270
2010-10,393223,372893,5120,13779,12394,797409
2010-11,418042,400195,5086,13988,12621,849932
2010-12,328166,327874,4239,11558,10040,681877
2011-01,353283,360886,5154,12706,11111,743140
2011-02,362631,362229,5221,12761,12428,755270
2011-03,424315,433482,5784,13508,14735,891824
2011-04,372297,394377,5270,11598,13743,797285
2011-05,364983,374797,5257,11201,13279,769517
2011-06,286737,274117,3810,8618,11373,584655
2011-07,256724,234323,3316,7428,9970,511761
2011-08,261925,246988,4050,9564,10235,532762
2011-09,293737,288563,4627,9892,10747,607566
2011-10,350165,339922,5024,11145,12448,718704
2011-11,364599,345824,4858,10799,12833,738913
2011-12,290746,270228,3740,8574,10552,583840
2012-01,296853,278337,4406,9193,10571,599360
2012-02,305489,310951,4562,8865,12349,642216
2012-03,331094,324610,4816,10461,13748,684729
2012-04,312496,293997,4628,9791,13595,634507
2012-05,306308,287186,4272,9575,13618,620959
2012-06,261744,235509,3475,7905,11485,520118
2012-07,256899,224936,3283,7581,11793,504492
2012-08,211586,209506,3750,6654,10342,441838
2012-09,249740,239654,3884,8214,10846,512338
2012-10,310852,295882,4613,10389,12641,634377
2012-11,319992,307336,4560,10187,12734,654809
2012-12,288429,244000,3786,8175,10522,554912
2013-01,307532,278902,4230,9266,11909,611839
2013-02,265011,266650,4268,8848,12294,557071
2013-03,327090,311725,4762,10677,14177,668431
2013-04,325531,302126,4769,10537,14407,657370
2013-05,302965,272036,4704,9502,14098,603305
2013-06,263479,214045,3859,7353,11920,500656
2013-07,245111,202139,3778,7121,12116,470265
2013-08,224471,191448,3894,6957,10417,437187
2013-09,268432,231824,5108,9015,11055,525434
2013-10,320229,287567,5616,10191,12736,636339
2013-11,323021,288204,5517,10356,12115,639213
2013-12,264127,225677,4211,8188,10142,512345
2014-01,278789,235551,4649,9060,10452,538501
2014-02,272038,244627,4558,9198,11051,541472
2014-03,304662,283462,5107,10653,12957,616841
2014-04,291964,274288,4964,9861,12468,593545
2014-05,275952,248508,4743,8897,11341,549441
2014-06,212375,185052,3309,6217,9215,416168
2014-07,200972,169195,3736,5967,8980,388850
2014-08,235592,161770,3707,5758,8578,415405
2014-09,266295,204180,4115,7111,9611,491312
2014-10,312074,243620,4785,8889,11419,580787
2014-11,310920,255226,5213,9234,11641,592234
2014-12,264710,212070,4200,7294,9399,497673
2015-01,275950,223904,4385,8016,11141,523396
2015-02,259474,214973,4949,8455,13019,500870
2015-03,298747,266408,6438,11857,13915,597365
2015-04,262511,241595,6173,11240,13593,535112
2015-05,249250,228336,5972,10263,12925,506746
2015-06,212704,190908,5745,9124,11786,430267
2015-07,198527,167744,4988,7406,10885,389550
2015-08,195716,161613,5145,7776,10074,380324
2015-09,223897,187095,6221,9178,10710,437101
2015-10,263636,227987,6598,9653,11998,519872
2015-11,270430,228829,6852,10141,12453,528705
2015-12,216435,176839,4901,7910,10186,416271
2016-01,206434,185693,5535,8899,10305,416866
2016-02,231840,199560,6312,9534,12066,459312
2016-03,272851,240388,7067,11012,13762,545080
2016-04,263301,231884,7282,11325,12847,526639
2016-05,263000,215969,6397,10105,12495,507966
2016-06,240729,172073,5064,8139,11568,437573
2016-07,219867,151720,4848,7564,10019,394018
2016-08,221495,159749,5942,8521,9994,405701
2016-09,225712,174977,6750,9809,10413,427661
2016-10,264701,208598,7908,11174,11793,504174
2016-11,311031,217702,8213,11547,11726,560219
2016-12,216416,182931,6415,9531,10091,425384
2017-01,362978,200948,7053,10451,10410,591840
2017-02,258798,230074,8408,12062,12946,522288
2017-03,295342,285291,9839,14601,15591,620664
2017-04,245580,235356,8528,12474,12377,514315
2017-05,257794,241280,7518,11454,12995,531041
2017-06,222046,193542,6368,10188,11452,443596
2017-07,202662,173017,5717,9194,10713,401303
2017-08,205240,177465,6571,9407,10170,408853
2017-09,219784,194675,6918,10385,9735,441497
2017-10,271455,262341,8626,13459,11184,567065
2017-11,256790,261937,9039,14267,11878,553911
2017-12,203410,212382,6505,11100,10158,443555
2018-01,223288,224003,6930,12060,10715,476996
2018-02,195419,210013,7017,10880,9966,433295
2018-03,224300,253187,8262,10605,11575,507929
2018-04,185060,212203,6815,10728,9483,424289
2018-05,208799,229446,7497,12229,11451,469422
2018-06,160445,173585,5443,8765,9548,357786
2018-07,147808,160779,5311,8703,9398,331999
2018-08,145047,155656,5721,8302,8818,323544
2018-09,174195,183115,6889,9944,8738,382881
2018-10,221131,243614,8510,12932,10667,496854
2018-11,211901,253387,8526,13182,10860,497856
2018-12,175007,202226,6188,10516,8823,402760
2019-01,180630,227459,7171,11475,9971,436706
2019-02,187230,225925,7714,11625,10449,442943
2019-03,226465,274799,9937,14580,12470,538251
2019-04,220303,268080,9802,14234,12344,524763
2019-05,206520,270224,9828,13839,11629,512040
2019-06,157592,209768,7594,10533,9952,395439
2019-07,176087,216458,7906,10600,10566,421617
2019-08,160232,204509,8578,10663,9009,392991
2019-09,184842,236429,10280,12265,9623,453439
2019-10,239442,309289,13006,15850,11343,588930
2019-11,238924,327288,12761,16420,11747,607140
2019-12,202271,271698,10055,13086,9929,507039
2020-01,200468,269593,9714,13254,9402,502431
2020-02,181538,245518,10326,12209,9522,459113
2020-03,228349,319134,12032,14934,12616,587065
2020-04,227999,346796,12899,16415,13645,617754
2020-05,234684,348614,13666,16594,13897,627455
2020-06,197538,301880,11047,13670,12270,536405
2020-07,165544,258436,9434,10990,10341,454745
2020-08,158778,246744,10012,11909,9702,437145
2020-09,188436,285760,11686,13585,10508,509975
2020-10,202816,345394,12326,15871,11115,587522
2020-11,207110,370986,12453,17119,11601,619269
2020-12,178830,325698,10435,14640,10766,540369
2021-01,185848,336120,11294,15040,11381,559683
2021-02,180575,319767,10701,14624,11317,536984
2021-03,230027,413173,13156,18528,14164,689048
2021-04,219806,409421,12895,18653,13450,674225
2021-05,208463,389253,11605,17916,12536,639773
